GROUP,ID,VAT1,TXNDC5,TUBB4B,TOM1,TOLLIP,TMEM30A,TMC6,TCIRG1,SYNGR1,SVIP,STXBP2,STK11IP,SLPI,SLC27A2,SERPINB6,S100P,S100A9,RAB4B,RAB24,QSOX1,PYGB,PYCARD,PTPRN2,PTPN6,PTGES2,PSMC3,PSMB1,PSMA2,PRKCD,PPIE,PKP1,PGRMC1,PGM1,PFKL,PDXK,PDAP1,ORMDL3,NME2,NIT2,NDUFC2,NBEAL2,NAPRT,MVP,MLEC,MIF,METTL7A,MAN2B1,LTF,LRG1,LAMTOR1,LAMP1,JUNB,JUN,IMPDH2,IMPDH1,HSPA1B,HSPA1A,HMOX2,GUSB,GSTP1,GSDMD,GALNS,GAA,FUCA1,FOS,ENPP4,EEF2,DPP7,DNASE1L1,DNAJC5,DGAT1,DDOST,DBNL,CYBA,CXCL8,CTSH,CTSD,CST3,COMMD3,CKAP4,CEP290,CD59,CD14,CAT,CANT1,ATP8B4,ATP6V0C,APRT,APEH,AP2A2,ANPEP,AMPD3,ALDOC,ALDH3B1,AGPAT2,AGA,ACTR1B,ACAA1,ABCA13
A,304,0,4,56,14,3,25,0,5,3,7,3,10,15,7,38,24,17,0,0,3,4,2,0,4,2,3,4,25,2,0,0,2,4,1,4,0,7,2,2,4,2,0,6,12,0,10,3,0,0,1,2,9,1,0,0,26,0,0,0,39,0,4,9,6,15,8,44,0,0,1,0,0,8,3,20,2,21,15,4,3,6,0,0,1,0,0,8,0,8,0,5,9,0,29,0,0,0,1,48
A,305,0,1,12,0,0,1,0,3,0,6,4,0,0,0,0,4,4,0,0,0,0,0,0,3,0,0,0,9,1,1,0,14,2,0,11,0,0,2,0,0,1,0,3,4,2,3,17,0,0,4,5,3,2,0,1,0,1,1,0,4,0,1,18,0,0,4,15,0,0,16,0,0,0,7,9,6,8,12,0,0,2,8,0,0,0,0,28,0,5,1,0,0,0,11,0,0,0,0,28
A,306,0,5,54,3,5,24,2,3,0,6,7,7,21,11,0,11,0,0,2,9,5,2,3,18,0,6,12,9,9,3,4,5,0,6,13,2,0,6,3,1,0,7,12,23,0,34,13,1,1,11,3,6,16,5,0,53,20,0,2,15,5,5,3,10,19,9,56,4,2,4,0,3,5,2,35,13,30,17,1,11,28,26,0,5,4,8,6,0,12,8,9,31,0,44,4,0,0,14,370
A,307,9,11,77,59,10,24,11,71,0,13,39,5,21,21,2,13,227,2,41,14,10,9,14,71,2,8,24,20,18,3,8,17,0,12,13,0,1,9,25,4,34,2,43,31,4,44,32,12,26,10,17,281,31,6,6,30,25,17,11,45,9,19,9,16,338,23,56,6,3,32,1,2,48,40,212,19,111,43,6,8,12,31,15,4,5,13,77,1,9,17,91,49,6,116,2,6,7,22,279
A,308,7,17,429,57,21,44,20,53,3,7,31,21,123,70,9,7,67,2,17,52,63,1,17,78,5,21,29,36,20,11,3,23,10,21,95,21,7,30,47,20,47,0,61,30,23,80,33,6,4,40,40,138,47,37,8,137,47,14,45,198,13,69,4,34,31,97,314,23,1,36,4,10,81,38,106,45,233,95,2,5,52,36,2,19,21,26,93,2,28,22,40,39,6,261,4,0,21,88,1636
A,309,22,60,117,25,0,274,10,3,7,28,16,97,172,161,14,0,19,43,0,130,14,0,11,0,0,7,20,28,7,123,40,34,0,33,42,0,0,27,108,0,14,50,61,18,0,173,0,0,0,20,15,46,91,41,0,91,0,13,12,46,1,16,5,174,235,339,145,1,18,35,0,6,111,12,281,31,230,111,15,38,98,221,0,4,93,0,59,0,0,24,36,194,0,274,0,1,0,139,5578
A,310,15,73,104,145,1,125,9,80,0,45,128,0,74,41,0,0,1164,16,99,171,50,0,59,155,0,7,8,59,14,25,0,3,13,26,59,7,2,5,29,8,13,1,50,88,0,114,30,7,100,0,57,410,59,31,19,160,0,27,31,54,32,52,0,39,1678,132,77,0,0,73,6,15,97,7,8480,26,199,125,0,57,13,183,49,7,14,134,74,0,15,38,374,89,0,90,3,0,0,47,1455
A,311,38,44,350,57,41,435,58,25,6,104,29,162,51,286,35,48,105,31,0,109,0,0,9,16,23,0,104,144,39,92,79,166,86,0,275,50,0,0,112,23,0,12,135,143,0,309,31,0,11,22,71,193,457,16,0,279,0,30,49,313,0,84,62,9,712,567,361,0,4,18,5,54,27,42,496,223,294,51,0,0,431,189,0,21,1,157,1,0,104,67,45,184,0,535,19,0,0,398,5341
A,312,4,0,36,39,11,0,3,11,0,3,31,2,24,0,4,6,587,0,23,6,15,1,5,42,1,3,17,7,0,8,0,0,6,3,8,1,0,6,2,0,71,2,9,16,2,10,9,20,5,18,10,137,4,2,5,48,7,1,2,18,4,2,3,1,87,2,75,4,2,28,0,2,33,17,470,5,68,54,6,22,3,8,8,6,1,17,62,1,6,7,19,24,0,27,1,0,6,5,48
A,313,20,36,23,45,0,85,0,72,14,0,120,1,105,0,0,84,1035,0,81,30,3,13,9,65,0,4,45,30,28,2,17,1,24,7,31,18,0,38,2,18,118,0,46,22,2,6,18,62,64,11,17,205,21,21,12,0,54,0,15,0,14,0,0,3,466,19,191,4,9,41,0,14,74,13,2146,41,63,38,5,11,1,54,58,0,23,23,39,0,25,15,75,43,0,26,0,6,10,15,306
